,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
289,289,10349,Blk 116,1.284983341,103.8210415,Henderson Rd,Bukit Merah
290,290,10351,Bef Tiong Bahru Rd,1.286755018,103.8220499,Henderson Rd,Bukit Merah
291,291,10359,Aft Tiong Bahru Rd,1.287238333,103.822593,Henderson Rd,Bukit Merah
292,292,10361,Cendex Ctr,1.280380921,103.8235303,Lower Delta Rd,Bukit Merah
293,293,10369,Opp Cendex Ctr,1.280374712,103.8238734,Lower Delta Rd,Bukit Merah
294,294,10371,Blk 129,1.283650723,103.8245027,Lower Delta Rd,Bukit Merah
295,295,10379,Blk 25B,1.283736034,103.8248952,Lower Delta Rd,Bukit Merah
296,296,10381,Opp Blk 48,1.289069722,103.8255941,Lower Delta Rd,Bukit Merah
297,297,10389,Blk 48,1.28875833,103.8257346,Lower Delta Rd,Bukit Merah
298,298,10391,Opp Melati Blk 2,1.276271053,103.8312564,Kg Bahru Rd,Bukit Merah
299,299,10399,Melati Blk 2,1.275881663,103.8301945,Kg Bahru Rd,Bukit Merah
300,300,10401,Shriro Hse,1.288167299,103.8116785,Hoy Fatt Rd,Bukit Merah
301,301,10409,Blk 50,1.287882218,103.8109932,Hoy Fatt Rd,Bukit Merah
302,302,10411,Opp Blk 53,1.289129795,103.8128084,Hoy Fatt Rd,Bukit Merah
303,303,10419,Blk 52,1.288420242,103.8125755,Hoy Fatt Rd,Bukit Merah
304,304,10421,Blk 63B,1.288970616,103.8150354,Lengkok Bahru,Bukit Merah
305,305,10429,Blk 54,1.289277906,103.8140481,Lengkok Bahru,Bukit Merah
306,306,10431,ENABLING VILLAGE,1.287083844,103.8139987,Lengkok Bahru,Bukit Merah
