BusStopCode,planning_area,Longitude,Latitude,subzone_name
12189,Bukit Timah,103.780224,1.316426937,Ulu Pandan
12199,Bukit Timah,103.7782062,1.315479989,Ulu Pandan
12201,Clementi,103.7639951,1.326708269,Toh Tuck
12209,Clementi,103.7642997,1.326532028,Sunset Way
12211,Bukit Timah,103.7807071,1.317213361,Ulu Pandan
13011,Tanglin,103.8198382,1.306348492,Ridout
13019,Tanglin,103.8201308,1.306738022,Nassim
13021,Tanglin,103.8143067,1.30633973,Ridout
13029,Tanglin,103.8145186,1.306717833,Tyersall
13031,Tanglin,103.8170739,1.299129722,Ridout
13039,Tanglin,103.8174427,1.299815727,Chatsworth
13041,Tanglin,103.8196763,1.302428343,Ridout
13049,Tanglin,103.8204507,1.302616713,Chatsworth
13051,Tanglin,103.8263656,1.293343059,Chatsworth
13059,Tanglin,103.8266349,1.293282736,Chatsworth
13062,Tanglin,103.8285327,1.294766744,Chatsworth
13063,Tanglin,103.8296431,1.295346928,Chatsworth
13069,Tanglin,103.8288081,1.29488,Chatsworth
13071,River Valley,103.8322513,1.296361993,Leonie Hill
13079,Singapore River,103.8322921,1.296122133,Robertson Quay
13081,River Valley,103.8362428,1.295911389,Leonie Hill
13089,River Valley,103.8360411,1.295751111,Institution Hill
13091,River Valley,103.8393781,1.295931389,Oxley
13099,River Valley,103.8396127,1.295780242,Institution Hill
13101,River Valley,103.8423121,1.294141627,Fort Canning
13109,Museum,103.8427242,1.293509444,Robertson Quay
13119,Singapore River,103.8328385,1.293626774,Robertson Quay
13121,Singapore River,103.8308378,1.294092217,Chatsworth
13139,Singapore River,103.8320553,1.295042619,Robertson Quay
13141,Tanglin,103.8299799,1.297636828,Chatsworth
13159,River Valley,103.8305318,1.297960115,Leonie Hill
13169,River Valley,103.8283929,1.299103052,One Tree Hill
13171,Tanglin,103.826507,1.299068091,Chatsworth
13179,River Valley,103.8266525,1.2992575,One Tree Hill
13181,Tanglin,103.8240347,1.300232237,Chatsworth
